yourlist:M201812188471C63D39733769F8E060B506551E1201F3EBJ	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
131322	A6NHJ4	ZN860_HUMAN	reviewed	Zinc finger protein 860	ZNF860	Homo sapiens (Human)	632
131331	Q5QGT7	RTP2_HUMAN	reviewed	Receptor-transporting protein 2 (3CxxC-type zinc finger protein 2)	RTP2 Z3CXXC2	Homo sapiens (Human)	225
131340	Q7RTY5	PRS48_HUMAN	reviewed	Serine protease 48 (EC 3.4.21.-) (Epidermis-specific serine protease-like protein)	PRSS48 ESSPL	Homo sapiens (Human)	328
131346	Q7Z5P4	DHB13_HUMAN	reviewed	17-beta-hydroxysteroid dehydrogenase 13 (17-beta-HSD 13) (EC 1.1.-.-) (Short chain dehydrogenase/reductase family 16C member 3) (Short-chain dehydrogenase/reductase 9)	HSD17B13 SCDR9 SDR16C3 HMFN0376 UNQ497/PRO1014	Homo sapiens (Human)	300
131358	A1A4Y4	IRGM_HUMAN	reviewed	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)	IRGM IFI1 IRGM1 LRG47	Homo sapiens (Human)	181
131360	D6RGH6	MCIN_HUMAN	reviewed	Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein) (McIdas protein) (Protein Idas)	MCIDAS IDAS MCI MCIN	Homo sapiens (Human)	385
131362	Q562R1	ACTBL_HUMAN	reviewed	Beta-actin-like protein 2 (Kappa-actin)	ACTBL2	Homo sapiens (Human)	376
131364	Q8TBP5	F174A_HUMAN	reviewed	Membrane protein FAM174A (Hepatitis C virus NS5A-transactivated protein 6) (HCV NS5A-transactivated protein 6) (Transmembrane protein 157)	FAM174A NS5ATP6 TMEM157 UNQ1912/PRO4371	Homo sapiens (Human)	190
131365	Q5HYI7	MTX3_HUMAN	reviewed	Metaxin-3	MTX3	Homo sapiens (Human)	312
131369	Q008S8	ECT2L_HUMAN	reviewed	Epithelial cell-transforming sequence 2 oncogene-like (Lung-specific F-box and DH domain-containing protein) (Putative guanine nucleotide exchange factor LFDH)	ECT2L C6orf91 LFDH	Homo sapiens (Human)	904
131371	Q5T1H1	EYS_HUMAN	reviewed	Protein eyes shut homolog (Epidermal growth factor-like protein 10) (EGF-like protein 10) (Epidermal growth factor-like protein 11) (EGF-like protein 11) (Protein spacemaker homolog)	EYS C6orf178 C6orf179 C6orf180 EGFL10 EGFL11 SPAM UNQ9424/PRO34591	Homo sapiens (Human)	3165
131374	Q9UJN7	ZN391_HUMAN	reviewed	Zinc finger protein 391	ZNF391	Homo sapiens (Human)	358
131375	Q9NU63	ZFP57_HUMAN	reviewed	Zinc finger protein 57 homolog (Zfp-57) (Zinc finger protein 698)	ZFP57 C6orf40 ZNF698	Homo sapiens (Human)	452
131376	Q6ZU15	SEP14_HUMAN	reviewed	Septin-14	SEPT14	Homo sapiens (Human)	432
131381	Q6ZN28	MACC1_HUMAN	reviewed	Metastasis-associated in colon cancer protein 1 (SH3 domain-containing protein 7a5)	MACC1	Homo sapiens (Human)	852
131390	A8MTJ3	GNAT3_HUMAN	reviewed	Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)	GNAT3	Homo sapiens (Human)	354
131392	Q86VF5	MOGT3_HUMAN	reviewed	2-acylglycerol O-acyltransferase 3 (EC 2.3.1.20) (EC 2.3.1.22) (Acyl-CoA:monoacylglycerol acyltransferase 3) (MGAT3) (Diacylglycerol O-acyltransferase candidate 7) (hDC7) (Diacylglycerol acyltransferase 2-like protein 7) (Monoacylglycerol O-acyltransferase 3)	MOGAT3 DC7 DGAT2L7 UNQ9383/PRO34208	Homo sapiens (Human)	341
131394	Q6NXP2	F71F2_HUMAN	reviewed	Protein FAM71F2 (Protein FAM137B)	FAM71F2 FAM137B	Homo sapiens (Human)	309
131397	A4D1S0	KLRG2_HUMAN	reviewed	Killer cell lectin-like receptor subfamily G member 2 (C-type lectin domain family 15 member B)	KLRG2 CLEC15B	Homo sapiens (Human)	409
131415	Q5T7B8	KIF24_HUMAN	reviewed	Kinesin-like protein KIF24	KIF24 C9orf48	Homo sapiens (Human)	1368
131419	Q5BKX8	CAVN4_HUMAN	reviewed	Caveolae-associated protein 4 (Muscle-related coiled-coil protein) (Muscle-restricted coiled-coil protein)	CAVIN4 MURC	Homo sapiens (Human)	364
131424	P51508	ZNF81_HUMAN	reviewed	Zinc finger protein 81 (HFZ20)	ZNF81	Homo sapiens (Human)	661
131446	Q5JT25	RAB41_HUMAN	reviewed	Ras-related protein Rab-41	RAB41	Homo sapiens (Human)	222
131462	Q3ZCM7	TBB8_HUMAN	reviewed	Tubulin beta-8 chain (Tubulin beta 8 class VIII)	TUBB8	Homo sapiens (Human)	444
131480	Q86UE6	LRRT1_HUMAN	reviewed	Leucine-rich repeat transmembrane neuronal protein 1	LRRTM1 UNQ675/PRO1309	Homo sapiens (Human)	522
131481	Q86VH5	LRRT3_HUMAN	reviewed	Leucine-rich repeat transmembrane neuronal protein 3	LRRTM3 UNQ803/PRO1693	Homo sapiens (Human)	581
131483	Q9BVA1	TBB2B_HUMAN	reviewed	Tubulin beta-2B chain	TUBB2B	Homo sapiens (Human)	445
131484	Q8TB61	S35B2_HUMAN	reviewed	Adenosine 3'-phospho 5'-phosphosulfate transporter 1 (PAPS transporter 1) (Putative MAPK-activating protein PM15) (Putative NF-kappa-B-activating protein 48) (Solute carrier family 35 member B2)	SLC35B2 PAPST1 PSEC0149	Homo sapiens (Human)	432
131485	Q96SA4	SERC2_HUMAN	reviewed	Serine incorporator 2 (Tumor differentially expressed protein 2-like)	SERINC2 TDE2L FKSG84 UNQ263/PRO300	Homo sapiens (Human)	455
131494	O75333	TBX10_HUMAN	reviewed	T-box transcription factor TBX10 (T-box protein 10)	TBX10 TBX7	Homo sapiens (Human)	385
131495	Q8NB37	GALD1_HUMAN	reviewed	Glutamine amidotransferase-like class 1 domain-containing protein 1 (Parkinson disease 7 domain-containing protein 1)	GATD1 PDDC1	Homo sapiens (Human)	220
131497	Q86SJ2	AMGO2_HUMAN	reviewed	Amphoterin-induced protein 2 (AMIGO-2) (Alivin-1) (Differentially expressed in gastric adenocarcinomas) (DEGA)	AMIGO2 ALI1	Homo sapiens (Human)	522
131501	Q8WV15	T255B_HUMAN	reviewed	Transmembrane protein 255B (Protein FAM70B)	TMEM255B FAM70B	Homo sapiens (Human)	326
131505	Q6ZRY4	RBPS2_HUMAN	reviewed	RNA-binding protein with multiple splicing 2	RBPMS2	Homo sapiens (Human)	209
131506	Q495B1	AKD1A_HUMAN	reviewed	Ankyrin repeat and death domain-containing protein 1A	ANKDD1A	Homo sapiens (Human)	522
131507	Q7Z6K5	ARPIN_HUMAN	reviewed	Arpin (Arp2/3 inhibition protein)	ARPIN C15orf38	Homo sapiens (Human)	226
131512	A5D8T8	CL18A_HUMAN	reviewed	C-type lectin domain family 18 member A (Mannose receptor-like protein 2)	CLEC18A MRLP2	Homo sapiens (Human)	446
131513	Q2VPK5	CTU2_HUMAN	reviewed	Cytoplasmic tRNA 2-thiolation protein 2 (Cytosolic thiouridylase subunit 2)	CTU2 C16orf84 NCS2	Homo sapiens (Human)	515
131515	Q8WVK7	SKA2_HUMAN	reviewed	Spindle and kinetochore-associated protein 2 (Protein FAM33A)	SKA2 FAM33A	Homo sapiens (Human)	121
131518	C9JLW8	MCRI1_HUMAN	reviewed	Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)	MCRIP1 FAM195B GRAN2	Homo sapiens (Human)	97
131519	P59797	SELV_HUMAN	reviewed	Selenoprotein V (SelV)	SELENOV SELV	Homo sapiens (Human)	346
131523	Q96AQ9	F131C_HUMAN	reviewed	Protein FAM131C	FAM131C C1orf117	Homo sapiens (Human)	280
131526	Q17RS7	GEN_HUMAN	reviewed	Flap endonuclease GEN homolog 1 (EC 3.1.-.-)	GEN1	Homo sapiens (Human)	908
131528	Q96LS8	CB048_HUMAN	reviewed	Uncharacterized protein C2orf48	C2orf48	Homo sapiens (Human)	159
131531	Q7Z5U6	WDR53_HUMAN	reviewed	WD repeat-containing protein 53	WDR53	Homo sapiens (Human)	358
131532	A1A4G5	LNP1_HUMAN	reviewed	Leukemia NUP98 fusion partner 1	LNP1 NP3	Homo sapiens (Human)	178
131533	Q494V2	CP100_HUMAN	reviewed	Cilia- and flagella-associated protein 100 (Coiled-coil domain-containing protein 37)	CFAP100 CCDC37	Homo sapiens (Human)	611
131541	Q0D2K0	NIPA4_HUMAN	reviewed	Magnesium transporter NIPA4 (Ichthyin) (NIPA-like protein 4) (Non-imprinted in Prader-Willi/Angelman syndrome region protein 4)	NIPAL4 ICHN NIPA4	Homo sapiens (Human)	466
131543	O60741	HCN1_HUMAN	reviewed	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 (Brain cyclic nucleotide-gated channel 1) (BCNG-1)	HCN1 BCNG1	Homo sapiens (Human)	890
131544	Q8NFH3	NUP43_HUMAN	reviewed	Nucleoporin Nup43 (Nup107-160 subcomplex subunit Nup43) (p42)	NUP43	Homo sapiens (Human)	380
131546	Q8N859	ZN713_HUMAN	reviewed	Zinc finger protein 713	ZNF713	Homo sapiens (Human)	430
131548	Q86TI4	WDR86_HUMAN	reviewed	WD repeat-containing protein 86	WDR86	Homo sapiens (Human)	376
131564	Q96T66	NMNA3_HUMAN	reviewed	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 (NMN/NaMN adenylyltransferase 3) (Nicotinamide-nucleotide adenylyltransferase 3) (NMN adenylyltransferase 3) (Nicotinate-nucleotide adenylyltransferase 3) (NaMN adenylyltransferase 3) (EC 2.7.7.18) (Pyridine nucleotide adenylyltransferase 3) (PNAT-3) (EC 2.7.7.1)	NMNAT3 FKSG76	Homo sapiens (Human)	252
131566	Q86UN3	R4RL2_HUMAN	reviewed	Reticulon-4 receptor-like 2 (Nogo receptor-like 3) (Nogo-66 receptor homolog 1) (Nogo-66 receptor-related protein 2) (NgR2)	RTN4RL2 NGRH1 NGRL3	Homo sapiens (Human)	420
131570	Q7Z601	GP142_HUMAN	reviewed	Probable G-protein coupled receptor 142 (G-protein coupled receptor PGR2)	GPR142 PGR2	Homo sapiens (Human)	462
131582	Q8N9W5	DAAF3_HUMAN	reviewed	Dynein assembly factor 3, axonemal	DNAAF3 C19orf51	Homo sapiens (Human)	541
131583	Q8NAP1	CAST3_HUMAN	reviewed	Putative protein CASTOR 3 (STAG3 opposite strand transcript protein)	CASTOR3 GATS STAG3OS	Homo sapiens (Human)	163
131603	Q6P5S2	LEG1H_HUMAN	reviewed	Protein LEG1 homolog	LEG1 C6orf58	Homo sapiens (Human)	330
131631	Q5EBL4	RIPL1_HUMAN	reviewed	RILP-like protein 1 (Rab-interacting lysosomal-like protein 1)	RILPL1 RLP1	Homo sapiens (Human)	403
131639	Q5T7P3	LCE1B_HUMAN	reviewed	Late cornified envelope protein 1B (Late envelope protein 2) (Small proline-rich-like epidermal differentiation complex protein 2A)	LCE1B LEP2 SPRL2A	Homo sapiens (Human)	118
131645	Q5TA79	LCE2A_HUMAN	reviewed	Late cornified envelope protein 2A (Late envelope protein 9)	LCE2A LEP9	Homo sapiens (Human)	106
131647	Q5TA82	LCE2D_HUMAN	reviewed	Late cornified envelope protein 2D (Late envelope protein 12) (Small proline-rich-like epidermal differentiation complex protein 1A)	LCE2D LEP12 SPRL1A	Homo sapiens (Human)	110
131648	Q5TA76	LCE3A_HUMAN	reviewed	Late cornified envelope protein 3A (Late envelope protein 13)	LCE3A LEP13	Homo sapiens (Human)	89
131650	Q5T5A8	LCE3C_HUMAN	reviewed	Late cornified envelope protein 3C (Late envelope protein 15) (Small proline-rich-like epidermal differentiation complex protein 3A)	LCE3C LEP15 SPRL3A	Homo sapiens (Human)	94
131651	Q5T5B0	LCE3E_HUMAN	reviewed	Late cornified envelope protein 3E (Late envelope protein 17)	LCE3E LEP17	Homo sapiens (Human)	92
131653	Q86UD7	TBC26_HUMAN	reviewed	TBC1 domain family member 26	TBC1D26	Homo sapiens (Human)	250
131658	Q401N2	ZACN_HUMAN	reviewed	Zinc-activated ligand-gated ion channel (Ligand-gated ion channel zinc-activated 1) (Ligand-gated ion-channel receptor L2)	ZACN L2 LGICZ LGICZ1 ZAC	Homo sapiens (Human)	412
131662	Q6ZQN7	SO4C1_HUMAN	reviewed	Solute carrier organic anion transporter family member 4C1 (OATP-H) (Organic anion transporter M1) (OATP-M1) (Solute carrier family 21 member 20)	SLCO4C1 OATP4C1 OATPX SLC21A20	Homo sapiens (Human)	724
131666	Q9UBP8	KAAG1_HUMAN	reviewed	Kidney-associated antigen 1 (RU2 antisense gene protein)	KAAG1 RU2AS	Homo sapiens (Human)	84
131672	P59923	ZN445_HUMAN	reviewed	Zinc finger protein 445 (Zinc finger protein 168) (Zinc finger protein with KRAB and SCAN domains 15)	ZNF445 ZKSCAN15 ZNF168	Homo sapiens (Human)	1031
131677	Q7Z3Y9	K1C26_HUMAN	reviewed	Keratin, type I cytoskeletal 26 (Cytokeratin-26) (CK-26) (Keratin-25B) (K25B) (Keratin-26) (K26) (Type I inner root sheath-specific keratin-K25irs2)	KRT26 KRT25B	Homo sapiens (Human)	468
131681	A5PLK6	RGSL_HUMAN	reviewed	Regulator of G-protein signaling protein-like	RGSL1 RGSL RGSL2	Homo sapiens (Human)	1076
131684	P59991	KR122_HUMAN	reviewed	Keratin-associated protein 12-2 (High sulfur keratin-associated protein 12.2) (Keratin-associated protein 12.2)	KRTAP12-2 KAP12.2 KRTAP12.2	Homo sapiens (Human)	146
131685	Q7Z6I5	SPT12_HUMAN	reviewed	Spermatogenesis-associated protein 12 (Spermatogenesis-related protein 5)	SPATA12 SRG5	Homo sapiens (Human)	190
131687	P59990	KR121_HUMAN	reviewed	Keratin-associated protein 12-1 (High sulfur keratin-associated protein 12.1) (Keratin-associated protein 12.1)	KRTAP12-1 KAP12.1 KRTAP12.1	Homo sapiens (Human)	96
131689	Q7Z602	GP141_HUMAN	reviewed	Probable G-protein coupled receptor 141 (G-protein coupled receptor PGR13)	GPR141 PGR13	Homo sapiens (Human)	305
131691	A6NK53	ZN233_HUMAN	reviewed	Zinc finger protein 233	ZNF233	Homo sapiens (Human)	670
131694	Q86XR7	TCAM2_HUMAN	reviewed	TIR domain-containing adapter molecule 2 (TICAM-2) (Putative NF-kappa-B-activating protein 502) (TRIF-related adapter molecule) (Toll-like receptor adaptor protein 3) (Toll/interleukin-1 receptor domain-containing protein) (MyD88-4)	TICAM2 TIRAP3 TIRP TRAM	Homo sapiens (Human)	235
131695	Q7Z5Q5	DPOLN_HUMAN	reviewed	DNA polymerase nu (EC 2.7.7.7)	POLN	Homo sapiens (Human)	900
131701	O14598	VCY1_HUMAN	reviewed	Testis-specific basic protein Y 1 (Basic charge, Y-linked 1) (Variably charged protein Y)	VCY BPY1 VCY1A; VCY1B BPY1B	Homo sapiens (Human)	125
131704	P59826	BPIB3_HUMAN	reviewed	BPI fold-containing family B member 3 (Ligand-binding protein RYA3) (Long palate, lung and nasal epithelium carcinoma-associated protein 3)	BPIFB3 C20orf185 LPLUNC3	Homo sapiens (Human)	476
131787	Q8N5W9	RFLB_HUMAN	reviewed	Refilin-B (Regulator of filamin protein B) (RefilinB)	RFLNB	Homo sapiens (Human)	214
131797	Q7Z5L9	I2BP2_HUMAN	reviewed	Interferon regulatory factor 2-binding protein 2 (IRF-2-binding protein 2) (IRF-2BP2)	IRF2BP2	Homo sapiens (Human)	587
131819	Q5SVQ8	ZBT41_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 41	ZBTB41 FRBZ1	Homo sapiens (Human)	909
131826	Q7Z5D8	NANGN_HUMAN	reviewed	NANOG neighbor homeobox (Homeobox protein C14)	NANOGNB	Homo sapiens (Human)	188
131875	Q9Y2Q3	GSTK1_HUMAN	reviewed	Glutathione S-transferase kappa 1 (EC 2.5.1.18) (GST 13-13) (GST class-kappa) (GSTK1-1) (hGSTK1) (Glutathione S-transferase subunit 13)	GSTK1 HDCMD47P	Homo sapiens (Human)	226
131884	Q70EL3	UBP50_HUMAN	reviewed	Inactive ubiquitin carboxyl-terminal hydrolase 50 (Inactive ubiquitin-specific peptidase 50)	USP50	Homo sapiens (Human)	339
131887	Q8IYX4	DND1_HUMAN	reviewed	Dead end protein homolog 1 (RNA-binding motif, single-stranded-interacting protein 4)	DND1 RBMS4	Homo sapiens (Human)	353
131889	O75251	NDUS7_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit) (PSST subunit)	NDUFS7	Homo sapiens (Human)	213
131892	Q8NBF2	NHLC2_HUMAN	reviewed	NHL repeat-containing protein 2	NHLRC2	Homo sapiens (Human)	726
131893	P0C7W6	CC172_HUMAN	reviewed	Coiled-coil domain-containing protein 172	CCDC172 C10orf96	Homo sapiens (Human)	258
131894	Q6P9A2	GLT18_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase 18 (EC 2.4.1.41) (Polypeptide GalNAc transferase 18) (GalNAc-T18) (Polypeptide GalNAc transferase-like protein 4) (GalNAc-T-like protein 4) (pp-GaNTase-like protein 4) (Polypeptide N-acetylgalactosaminyltransferase-like protein 4) (Protein-UDP acetylgalactosaminyltransferase-like protein 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 4)	GALNT18 GALNTL4	Homo sapiens (Human)	607
131895	Q68D85	NR3L1_HUMAN	reviewed	Natural cytotoxicity triggering receptor 3 ligand 1 (B7 homolog 6) (B7-H6)	NCR3LG1 B7H6	Homo sapiens (Human)	454
131897	Q6SJ93	F111B_HUMAN	reviewed	Protein FAM111B (Cancer-associated nucleoprotein)	FAM111B CANP	Homo sapiens (Human)	734
131898	Q7Z7N9	T179B_HUMAN	reviewed	Transmembrane protein 179B	TMEM179B	Homo sapiens (Human)	219
131899	Q8IV04	TB10C_HUMAN	reviewed	Carabin (TBC1 domain family member 10C)	TBC1D10C	Homo sapiens (Human)	446
131903	Q7Z794	K2C1B_HUMAN	reviewed	Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Keratin-77) (K77) (Type-II keratin Kb39)	KRT77 KRT1B	Homo sapiens (Human)	578
